BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
La StellaDH,4,0,2,1,0,0,2,.253,.666
"b-Davis, JPH",1,0,0,0,0,1,1,.244,.733
Wade Jr.RF,4,0,0,0,0,1,5,.175,.699
c-WynnsPH,1,0,0,0,0,0,1,.223,.580
Flores1B,4,0,0,0,0,2,2,.251,.771
PedersonLF,3,0,2,0,1,1,0,.257,.829
Longoria3B,3,0,0,0,0,3,3,.259,.838
"Crawford, BraSS",4,0,0,0,0,2,3,.219,.647
Estrada2B,4,0,0,0,0,2,3,.258,.716
YastrzemskiCF,3,1,2,0,0,1,0,.211,.687
a-SlaterPH,0,0,0,0,1,0,0,.265,.769
BartC,4,0,2,0,0,0,2,.230,.717
,35,1,8,1,2,13,22,,
