BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanRF-LF,3,0,0,1,2,1,4,.284,.739
"Rosario, ASS",5,0,0,0,0,1,7,.287,.710
"Ramírez, Jo3B",4,1,1,0,1,2,0,.296,.977
"Naylor, JDH",5,0,0,0,0,1,2,.263,.798
"Miller, O1B",4,0,0,0,0,1,1,.245,.681
Gimenez2B,4,2,1,2,0,1,1,.308,.857
PalaciosLF,1,1,0,0,1,0,0,.264,.632
"a-Reyes, FPH-RF",1,1,0,0,1,1,1,.204,.570
LeonC,1,0,0,0,3,0,0,.000,.429
1-ClementPR,0,0,0,0,0,0,0,.189,.467
MaileC,0,0,0,0,0,0,0,.179,.529
StrawCF,2,0,1,1,2,1,2,.202,.553
,30,5,3,4,10,9,18,,
