BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,2,2,1,1,3,0,1,.254,.744
AdamesSS,4,1,1,1,0,1,3,.215,.749
Tellez1B,4,2,2,6,1,0,1,.230,.773
McCutchenDH,3,0,1,0,2,0,1,.258,.718
RenfroeRF,5,0,0,0,0,1,5,.247,.807
"Wong, Ko2B",3,2,1,0,1,0,2,.243,.733
"Urías, L3B",2,2,1,2,2,0,0,.236,.740
CaratiniC,3,1,0,0,1,2,1,.230,.762
"Taylor, TCF",4,0,1,0,0,2,4,.227,.694
,30,10,8,10,10,6,18,,
