BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez1B-2B,5,0,0,0,0,2,3,.333,.840
CorreaSS,4,0,0,0,0,1,2,.274,.793
UrshelaSS,0,0,0,0,0,0,0,.265,.734
BuxtonDH,4,0,0,0,0,3,1,.216,.826
Polanco2B,3,0,0,0,0,2,1,.242,.780
Sanó1B,1,0,0,0,0,0,0,.088,.361
Miranda3B,4,1,3,1,0,1,0,.281,.799
KirilloffRF,4,0,0,0,0,3,2,.257,.669
GarlickLF,3,2,2,1,1,0,0,.277,.896
GordonCF,3,1,1,1,1,1,1,.255,.691
SanchezC,2,0,1,1,0,0,0,.215,.678
"a-Hamilton, CPH-C",2,0,0,0,0,2,2,.000,.000
,35,4,7,4,2,15,12,,
