PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Archer(L, 2-5)",3.0,3,6,6,6,2,1,4.04
Cotton,1.0,1,2,2,1,1,1,3.16
Cano,2.0,3,2,2,2,2,1,9.22
Megill,1.0,0,0,0,0,1,0,2.11
Moran,1.0,1,0,0,1,0,0,2.21
,8.0,8,10,10,10,6,3,
