BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",5,0,0,0,0,3,2,.242,.661
"Reyes, VRF-LF",5,0,1,0,0,1,1,.266,.651
"Báez, JSS",5,1,2,1,0,2,2,.221,.642
"Castro, H1B",3,1,0,0,2,1,2,.287,.723
"Castro, W3B-RF",4,1,3,0,0,1,1,.249,.643
Schoop2B,4,0,1,1,0,0,3,.204,.552
"Carpenter, KDH",4,0,0,0,0,3,3,.000,.000
BarnhartC,3,0,0,0,0,0,0,.195,.480
"b-Cabrera, MPH",0,0,0,0,1,0,0,.268,.650
1-ClemensPR-3B,0,0,0,0,0,0,0,.141,.499
BaddooLF,2,0,0,0,0,2,0,.152,.407
a-HaasePH-LF-C,2,0,0,1,0,1,2,.237,.695
,37,3,7,3,3,14,16,,
