BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,3,1,1,1,2,0,0,.300,.772
"Rosario, ASS",5,0,0,0,0,1,2,.285,.729
"Ramírez, JoDH",5,1,0,0,0,0,2,.280,.891
"Miller, O1B",5,0,2,0,0,0,2,.240,.655
Gimenez2B,4,2,1,0,0,0,3,.304,.849
"Gonzalez, ORF",5,0,2,1,0,1,3,.301,.783
"Freeman, T3B",4,0,1,0,0,0,4,.250,.688
MaileC,4,0,1,1,0,0,4,.223,.651
StrawCF,4,0,0,0,0,0,4,.210,.556
,39,4,8,3,2,2,24,,
