Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,-4,,0,-2,0,-2,-1,-1,1,-2,85,82,-3
2020,2,,0,1,0,1,0,0,0,1,89,92,3
2021,1,,0,0,0,0,0,1,0,1,88,90,2
2022,1,,-1,1,0,0,1,-1,0,0,91,92,1
