Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,26,27.8,4.09,,30,29,215,68.0
2019,27,27.2,4.11,1,47,35,287,58.1
2020,28,27.1,4.13,,31,19,215,57.2
2021,29,27.0,4.17,,50,32,346,48.9
2022,30,27.4,4.16,,42,17,309,50.6
