 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,208,17.7,17.3%,2.4%,114,23.5,1.8%,14.9%
2019,,486,19.3,6.6%,3.3%,231,25.3,0.0%,20.8%
2020,,177,21.6,7.3%,10.2%,120,26.3,1.7%,18.3%
2021,,369,20.7,4.6%,3.8%,214,26.8,0.0%,22.0%
2022,,466,19.4,8.8%,3.4%,372,25.9,0.8%,21.0%
