Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,631,3,0.5,.364,.293
2017,L,683,4,0.6,.347,.392
2018,L,649,11,1.7,.421,.487
2019,L,563,182,32.3,.429,.470
2020,L,245,133,54.3,.376,.315
2021,L,470,247,52.6,.347,.304
2022,L,666,204,30.6,.311,.366
