 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,51,98,52,5,-1.7,0,0.9,-0.9,31.7
2017,47,96,49,-1,-1.8,0.2,0.7,-0.8,33
2018,38,72,52.8,1,-1.6,-0.5,0.4,-1.6,31.7
2019,21,62,33.9,-8,-1.4,-1.3,0.7,-2,30.9
2020,9,19,47.4,-1,-1.8,-1.3,1,-2.5,30.1
2021,22,40,55,0,-1.4,-0.3,0.5,-1.3,32.4
2022,20,48,41.7,-5,-1.9,-1.6,0.2,-3.3,29.9
