Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,19.9,4,2.1,2,2,1,1,25.0
2018,,18.9,9,10.5,-2,5,11,2,22.2
2019,,20.8,15,10.9,4,12,14,1,6.7
2020,,23.7,4,3.9,0,1,3,2,50.0
2021,,21.7,11,9.6,1,7,8,4,36.4
2022,,21.5,12,14.4,-2,13,14,3,25.0
Player,,21.0,55,51.3,4,40,51,13,23.6
