Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,R,170,0,0.0,.282,
2018,R,583,0,0.0,.288,
2019,R,653,12,1.8,.315,.478
2020,R,148,6,4.1,.280,.147
2021,R,584,2,0.3,.309,.879
2022,R,670,2,0.3,.311,.344
