 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,170,642,-6,-8,2,0,-11
2018,,582,"2,112",-12,-18,0,6,-24
2019,,648,"2,388",-3,-14,7,8,0
2020,,148,524,0,-5,-2,2,-6
2021,,586,"2,152",-4,-16,10,9,-2
2022,,702,"2,511",-7,-7,11,11,8
