Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,21,30.1,4.04,26,2,2,7,99.1
2018,22,29.5,4.14,55,6,3,27,96.1
2019,23,29.2,4.18,32,8,4,42,94.0
2020,24,28.7,4.26,2,6,6,38,92.6
2021,25,29.5,4.2,67,4,4,18,97.5
2022,26,29.5,4.17,91,5,4,26,96.0
