 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,161,88.5,83.1,--,--,--,--,--,--,161,83.1,--,--,--,--,--,--
2021,680,87.9,82.9,--,--,--,--,--,--,640,82.9,--,--,40,--,--,--
2022,663,90.8,85.2,--,--,--,--,--,--,653,85.2,10,--,--,--,--,--
