PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Detmers,4.2,4,3,3,2,2,0,5.32
"Ortega, O",2.1,1,0,0,0,2,0,1.23
Loup,1.0,1,1,1,0,2,1,1.54
"Tepera(W, 1-0)",1.0,0,0,0,1,1,0,1.50
Herget,1.0,2,1,0,1,0,0,5.11
,10.0,8,5,4,4,7,1,
