PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Germán(W, 2-2)",6.1,4,2,1,0,3,1,3.89
"Marinaccio(H, 4)",1.1,0,0,0,1,1,0,1.72
"Loáisiga(S, 1)",1.1,0,0,0,0,1,0,5.76
,9.0,4,2,1,1,5,1,
