PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Bundy,4.0,5,4,4,1,1,2,5.87
Cotton,1.0,1,1,1,0,1,1,1.69
"Smith, Joe(BS, 2)",1.0,2,2,2,1,1,1,2.84
"Duran, J(L, 0-2)",0.1,4,2,2,0,0,0,2.81
Moran,1.2,2,1,1,3,1,0,1.08
Cano,1.0,0,0,0,0,2,0,9.26
,9.0,14,10,10,5,6,4,
