BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez1B,4,2,1,1,1,0,0,.359,.871
BuxtonCF,4,2,2,4,1,0,0,.231,.878
CorreaSS,4,1,2,1,1,1,1,.286,.785
Polanco2B,3,0,1,0,1,1,1,.238,.715
KeplerRF,4,0,0,0,0,1,4,.248,.761
SanchezC,4,0,0,0,0,1,1,.218,.700
LarnachLF,4,1,1,1,0,2,1,.256,.806
Urshela3B,4,0,1,0,0,2,0,.278,.741
MirandaDH,4,1,1,0,0,0,1,.224,.673
,35,7,9,7,4,8,9,,
