BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichDH,4,0,0,0,0,3,1,.261,.752
b-HiuraPH-DH,1,0,0,0,0,0,1,.236,.799
AdamesSS,5,0,1,0,0,1,2,.224,.757
Tellez1B,4,0,1,0,1,1,1,.239,.798
McCutchenLF,3,0,0,0,2,0,1,.254,.717
"Wong, Ko2B",4,0,1,1,0,2,3,.257,.772
RenfroeRF,4,1,1,0,0,0,5,.246,.805
CaratiniC,3,1,1,1,1,0,3,.232,.778
Brosseau3B,3,1,1,2,0,1,0,.293,.860
"Davis, JoCF",2,0,1,0,1,1,0,.250,.643
"a-Taylor, TPH-CF",1,1,0,0,0,0,3,.227,.703
,34,4,7,4,5,9,20,,
