BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",4,0,0,0,0,1,3,.354,.895
Harrison2B,4,0,0,0,0,0,1,.174,.520
VaughnRF,4,0,0,0,0,1,0,.280,.816
"Abreu, J1B",3,0,1,0,1,2,0,.238,.732
GrandalC,2,0,0,0,2,2,2,.168,.507
PollockLF,4,0,1,0,0,1,3,.218,.584
SheetsDH,4,0,0,0,0,1,3,.200,.600
Burger3B,4,1,3,1,0,0,1,.253,.714
EngelCF,3,0,2,0,0,0,0,.240,.651
,32,1,7,1,3,8,13,,
