PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Montas(L, 4-10)",6.0,8,6,6,1,2,1,3.87
"Abreu, A",1.0,2,3,2,1,1,0,3.16
Luetge,2.0,3,0,0,1,3,0,2.74
,9.0,13,9,8,3,6,1,
