BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,5,2,5,1,0,0,0,.267,.820
Guerrero1B,5,3,1,3,0,0,5,.282,.861
Gurriel Jr.LF,4,1,1,0,1,1,1,.306,.774
KirkC,4,0,2,2,0,1,1,.299,.832
"Hernández, TRF",5,1,2,2,0,1,3,.267,.803
BichetteSS,5,0,1,0,0,2,4,.260,.727
"Chapman, M3B",5,0,1,0,0,1,3,.235,.775
Espinal2B,3,1,0,1,1,0,1,.272,.704
MerrifieldCF,3,1,0,0,1,0,1,.239,.631
Bradley Jr.CF,0,0,0,0,0,0,0,.209,.573
,39,9,13,9,3,6,19,,
