PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J(W, 1-0)",5.0,4,3,3,0,6,1,5.40
"Phillips, E(H, 1)",1.0,1,0,0,1,1,0,0.00
"Vesia(H, 1)",1.2,1,0,0,0,3,0,0.00
"Graterol(H, 1)",0.1,0,0,0,0,0,0,0.00
"Martin(S, 1)",1.0,1,0,0,0,0,0,0.00
,9.0,7,3,3,1,10,1,
