PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Gibson,8.0,7,1,1,0,6,1,4.04
"Brogdon(W, 2-0)",1.0,0,0,0,0,2,0,2.35
,9.0,7,1,1,0,8,1,
