BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Chisholm Jr.2B,4,0,0,0,0,2,0,.246,.836
Berti3B,4,0,2,0,0,1,0,.279,.789
SolerDH,4,0,0,0,0,3,2,.217,.744
Aguilar1B,4,0,1,0,0,1,2,.251,.728
"Sánchez, JCF",4,0,1,0,0,0,2,.222,.685
"García, AvRF",3,0,0,0,0,1,1,.224,.576
"Rojas, MSS",3,1,2,1,0,0,0,.229,.649
FortesC,3,0,1,0,0,0,0,.333,1.092
De La CruzLF,3,0,0,0,0,0,2,.213,.577
,32,1,7,1,0,8,9,,
