PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Morton,5.0,5,4,4,3,4,2,4.10
"McHugh(H, 9)",1.0,0,0,0,0,1,0,2.77
"Iglesias, R(H, 5)",1.0,1,0,0,0,1,0,3.30
"Minter(H, 23)",1.0,1,0,0,0,0,0,2.18
"Jansen(L, 5-1)(BS, 5)",0.1,2,2,2,2,0,0,3.40
,8.1,9,6,6,5,6,2,
