PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Montgomery,5.0,8,5,5,1,4,1,3.28
"Romero, J",1.0,0,0,0,0,2,0,4.50
"Hicks, J",2.0,2,0,0,0,3,0,5.16
"Helsley(W, 8-1)",1.0,0,0,0,0,2,0,0.89
,9.0,10,5,5,1,11,1,
