PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Eflin(L, 1-2)",4.1,8,6,5,1,3,0,4.50
Alvarado,0.2,1,0,0,0,1,0,3.68
Hand,1.0,0,0,0,0,1,0,1.69
Norwood,0.1,3,3,2,0,1,0,5.40
"Sánchez, C",1.2,3,1,1,0,2,0,5.40
,8.0,15,10,8,1,8,0,
