Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,234",52.0,327,276,73,43,17,1,12,54,226,.264,.256,.464,.454,.361,.365,88.7,10,19.2,16.9
2022,Breaking,873,36.8,221,205,46,25,15,1,5,57,149,.224,.254,.380,.420,.287,.316,89.0,14,29.1,18.9
2022,Offspeed,265,11.2,62,56,15,9,5,0,1,13,43,.268,.254,.411,.434,.332,.337,88.0,7,28.2,14.6
2021,Fastballs,907,53.6,239,199,49,25,11,0,13,53,149,.246,.257,.497,.515,.366,.385,89.0,17,21.9,23.0
2021,Breaking,627,37.0,154,143,26,12,11,0,3,50,93,.182,.217,.322,.376,.246,.283,89.1,15,34.3,23.4
2021,Offspeed,159,9.4,55,51,10,8,1,0,1,11,40,.196,.243,.275,.336,.238,.283,90.1,10,32.6,18.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
