PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Ohtani(W, 4-4)",7.0,4,1,1,2,6,0,3.64
Tepera,1.0,2,1,1,0,1,0,4.38
"Iglesias, R(S, 12)",1.0,0,0,0,0,2,0,4.43
,9.0,6,2,2,2,9,0,
