PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"McKenzie(W, 10-11)",7.0,6,0,0,2,5,0,3.05
Sandlin,1.0,0,0,0,0,1,0,2.13
Shaw,0.2,4,4,4,0,0,0,5.79
"Clase(S, 33)",0.1,2,0,0,0,0,0,1.36
,9.0,12,4,4,2,6,0,
