PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Winder(L, 4-5)",6.0,6,3,3,1,4,2,4.20
Moran,2.0,4,1,1,0,2,0,2.57
,8.0,10,4,4,1,6,2,
