PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Detmers,5.0,6,4,4,2,3,0,3.82
"Loup(L, 0-5)",1.0,2,1,1,1,0,0,3.96
Tepera,1.0,0,0,0,0,1,0,3.58
Wantz,1.0,0,0,0,0,1,0,3.29
,8.0,8,5,5,3,5,0,
