BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Rengifo2B,4,0,0,0,0,0,1,.271,.726
TroutCF,4,1,1,2,0,1,0,.279,1.001
OhtaniDH,3,0,1,0,1,0,0,.267,.894
WardRF,1,1,0,0,3,1,1,.265,.796
Duffy3B,4,1,2,2,0,1,3,.250,.597
Ford1B,4,0,0,0,0,2,3,.191,.622
AdellLF,2,0,0,0,0,1,0,.219,.627
a-MoniakPH-LF,2,0,0,0,0,1,1,.176,.529
StassiC,4,1,1,0,0,1,0,.185,.582
"Velazquez, ASS",3,0,0,0,0,1,1,.193,.536
b-ThaissPH,1,0,0,0,0,1,0,.310,.758
,32,4,5,4,4,10,10,,
