PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Márquez(L, 8-11)",7.0,6,2,2,2,4,1,5.14
Lawrence,1.0,1,0,0,0,2,0,4.33
,8.0,7,2,2,2,6,1,
