BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McKinstry2B,4,2,2,1,0,1,1,.205,.657
HappLF,3,0,2,1,1,0,0,.274,.806
GomesC,4,0,0,0,0,1,3,.230,.614
"Reyes, FDH",3,0,0,0,1,1,2,.226,.645
Bote3B,3,0,2,0,0,0,0,.244,.657
"Young, J1B",4,0,1,0,0,1,6,.250,.750
"Suzuki, SRF",0,0,0,0,0,0,0,.263,.769
HermosilloCF,4,0,0,0,0,2,1,.095,.367
"Velazquez, NRF",3,0,0,0,0,0,0,.206,.649
Rivas1B,0,0,0,0,0,0,0,.243,.652
MorelSS,3,0,0,0,0,0,0,.240,.735
,31,2,7,2,2,6,13,,
