PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Stroman(W, 4-7)",7.0,3,1,1,2,5,1,3.76
"Hughes(H, 5)",1.0,1,0,0,0,1,0,3.25
"Rodríguez, M(S, 2)",1.0,0,0,0,0,1,0,3.38
,9.0,4,1,1,2,7,1,
