BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McKinstry2B,4,1,1,0,0,1,0,.179,.546
HoernerSS,3,1,1,0,1,0,1,.291,.747
"Suzuki, SRF",4,0,2,0,0,0,1,.250,.737
HappLF,4,1,3,2,0,0,0,.278,.800
"Reyes, FDH",4,0,1,0,0,1,4,.229,.645
HigginsC,4,0,0,0,0,2,3,.235,.735
Wisdom1B,3,0,0,0,0,2,1,.217,.749
a-OrtegaPH,1,0,0,0,0,0,0,.232,.677
"Velazquez, NCF",3,0,0,0,1,1,0,.212,.680
Morel3B,4,0,0,0,0,0,2,.254,.770
,34,3,8,2,2,7,12,,
