BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",5,0,2,0,0,1,5,.290,.816
Choi1B,4,0,0,0,0,2,2,.228,.704
MargotRF-CF,4,0,0,0,0,2,1,.295,.758
ArozarenaLF,4,0,0,0,0,0,2,.264,.779
PeraltaDH,4,1,2,0,0,2,0,.255,.762
Paredes2B,2,0,0,0,1,1,0,.221,.780
1-BrujánPR-RF,1,0,0,0,0,0,1,.165,.474
BethancourtC,3,0,0,0,0,2,2,.235,.660
"b-Mejía, FPH",1,0,1,1,0,0,0,.257,.676
WallsSS,3,0,0,0,0,2,3,.174,.545
SiriCF,2,0,0,0,0,0,1,.215,.623
a-ArandaPH-2B,1,0,1,0,1,0,0,.368,.903
,34,1,6,1,2,12,17,,
