 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2013,,324,"1,354",-5,-10,6,6,-4
2016,,307,"1,307",-11,-7,3,7,-8
2017,,70,279,-6,-1,4,2,-2
2018,,593,"2,339",-5,-12,16,14,12
2019,,508,"2,047",-23,-11,16,12,-7
2020,,217,890,-5,-6,6,5,0
2021,,411,"1,734",-20,-13,16,11,-7
2022,,710,"3,030",-9,-28,22,11,-4
