Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Profar, Jurickson - LHB",2016,0.00,0.54,0.85,1.12,1.38,1.61,1.84,2.05,2.25,2.44,2.64,2.83,3.02,3.20,3.39,3.58,3.77,3.96,4.17
"Profar, Jurickson - RHB",2016,0.00,0.54,0.84,1.11,1.36,1.59,1.81,2.03,2.23,2.43,2.62,2.81,3.00,3.19,3.37,3.55,3.74,3.92,4.12
"Profar, Jurickson - LHB",2018,0.00,0.54,0.84,1.10,1.35,1.58,1.79,2.00,2.20,2.39,2.57,2.76,2.94,3.12,3.29,3.47,3.65,3.84,4.03
"Profar, Jurickson - RHB",2018,0.00,0.55,0.85,1.11,1.35,1.58,1.79,2.00,2.19,2.38,2.56,2.75,2.92,3.10,3.27,3.44,3.61,3.78,3.96
"Profar, Jurickson - LHB",2019,0.00,0.53,0.83,1.09,1.34,1.57,1.79,1.99,2.19,2.38,2.57,2.76,2.94,3.12,3.30,3.48,3.66,3.84,4.04
"Profar, Jurickson - RHB",2019,0.00,0.55,0.85,1.11,1.36,1.59,1.81,2.01,2.21,2.41,2.60,2.79,2.97,3.15,3.33,3.51,3.68,3.86,4.04
"Profar, Jurickson - LHB",2020,0.00,0.57,0.90,1.17,1.42,1.65,1.86,2.07,2.27,2.46,2.65,2.83,3.01,3.19,3.37,3.55,3.73,3.91,4.09
"Profar, Jurickson - RHB",2020,0.00,0.56,0.90,1.16,1.41,1.64,1.85,2.06,2.25,2.45,2.63,2.82,3.00,3.18,3.36,3.53,3.71,3.89,4.07
"Profar, Jurickson - LHB",2021,0.00,0.55,0.87,1.14,1.39,1.62,1.84,2.05,2.25,2.44,2.63,2.82,3.01,3.19,3.38,3.56,3.75,3.95,4.15
"Profar, Jurickson - RHB",2021,0.00,0.56,0.88,1.15,1.39,1.62,1.84,2.04,2.25,2.45,2.64,2.83,3.01,3.19,3.38,3.56,3.74,3.93,4.12
"Profar, Jurickson - LHB",2022,0.00,0.55,0.87,1.14,1.39,1.61,1.83,2.04,2.24,2.43,2.62,2.81,3.00,3.18,3.36,3.54,3.73,3.92,4.13
"Profar, Jurickson - RHB",2022,0.00,0.56,0.88,1.16,1.41,1.64,1.85,2.06,2.26,2.46,2.65,2.84,3.03,3.21,3.39,3.57,3.75,3.94,4.13

