PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Rodriguez, Ed(L, 3-5)",5.0,10,5,5,1,2,0,4.50
Foley,1.0,0,0,0,0,0,0,3.19
"Hill, G",2.0,0,0,0,1,2,0,3.83
Vest,1.0,3,2,2,0,1,0,3.90
,9.0,13,7,7,2,5,0,
