BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,2,2,0,0,0,2,.291,.893
PeñaSS,5,2,3,1,0,1,2,.253,.699
"Alvarez, YLF",4,1,2,0,1,1,3,.293,.990
DubónCF,0,0,0,0,0,0,0,.211,.572
Bregman3B,4,1,2,1,1,0,3,.268,.852
TuckerRF,5,0,1,3,0,1,5,.258,.807
Gurriel1B,5,0,1,1,0,0,3,.243,.655
ManciniDH,4,0,0,0,0,1,1,.252,.742
McCormickCF-LF,4,0,1,0,0,0,0,.236,.732
MaldonadoC,3,1,1,0,0,1,0,.174,.575
,39,7,13,6,2,5,19,,
