PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(L, 13-3)",7.0,8,2,2,0,3,1,2.68
Reed,1.0,0,0,0,0,0,0,7.36
,8.0,8,2,2,0,3,1,
