Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,78,64,75,73,76,90,70,90,97,81,73,79,76,78,63,,
2016,88,93,91,87,72,93,77,73,99,83,65,32,52,37,35,,
2017,81,82,87,84,55,97,83,97,99,96,70,33,58,35,35,9,
2018,88,92,90,88,83,98,85,92,96,93,84,65,63,46,35,90,
2019,65,57,60,59,66,74,51,86,87,77,65,65,53,48,40,7,
2020,91,94,91,84,86,94,73,73,98,73,89,65,73,69,37,93,79
2021,89,91,89,82,85,96,83,96,100,93,81,63,64,43,36,83,87
2022,74,77,79,72,76,83,66,89,85,91,53,70,47,38,28,95,61
