 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2012,,225,791,1,-5,4,1,2
2013,,710,"2,496",1,-7,9,5,8
2014,,352,"1,284",-4,3,3,5,7
2015,,710,"2,778",1,-5,22,10,28
2016,,691,"2,554",18,-7,11,9,31
2017,,687,"2,545",-2,-9,8,11,8
2018,,761,"2,799",17,-22,19,13,26
2019,,658,"2,417",-1,-21,23,11,13
2020,,277,"1,053",8,-6,11,4,16
2021,,630,"2,238",12,-10,13,12,26
2022,,686,"2,588",16,5,16,8,44
