Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,671,8,1.2,.363,.220
2017,R,686,43,6.3,.336,.204
2018,R,691,84,12.2,.383,.327
2019,R,658,53,8.1,.333,.362
2020,R,250,27,10.8,.390,.402
2021,R,629,112,17.8,.357,.320
2022,R,634,118,18.6,.377,.400
