PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, K",5.2,2,1,0,1,8,0,3.04
"Martin(H, 5)",1.0,2,1,1,0,2,1,3.62
"Effross(H, 11)",0.1,0,0,0,0,0,0,2.95
"Givens(H, 5)",1.0,0,0,0,1,1,0,3.15
"Robertson(BS, 5)",1.0,1,1,1,2,0,0,2.10
"Wick(L, 1-4)",0.0,1,1,0,1,0,0,4.63
,9.0,6,4,2,5,11,1,
