BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B,4,1,1,0,0,2,0,.272,.838
HappLF,4,0,1,2,0,1,0,.281,.832
Wisdom3B,3,0,1,0,0,1,0,.230,.782
"Suzuki, SRF",4,0,0,0,0,0,2,.250,.805
HoernerSS,4,1,1,1,0,0,1,.300,.757
GomesC,4,0,0,0,0,0,1,.211,.535
Higgins1B,3,0,0,0,0,0,0,.286,.859
Rivas1B,1,0,0,0,0,0,1,.236,.651
"Velazquez, NCF",4,0,0,0,0,0,1,.239,.691
BoteDH,2,1,1,0,0,1,0,.217,.569
a-OrtegaPH-DH,1,0,0,0,0,0,0,.260,.743
,34,3,5,3,0,5,6,,
