PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Anderson,7.0,5,3,3,0,4,1,3.15
Almonte,1.0,0,0,0,0,0,0,1.59
Ferguson,1.0,0,0,0,0,1,0,0.00
"Phillips, E(W, 3-3)",1.0,0,0,0,0,0,0,1.60
,10.0,5,3,3,0,5,1,
