PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
Castano,0.2,2,1,1,0,0,0,4.04
Brigham,2.2,3,2,2,0,2,0,4.91
"Bleier(BS, 3)",1.0,4,1,1,0,0,0,4.03
Okert,1.2,1,1,1,0,1,1,2.29
Bass,1.0,0,0,0,0,1,0,1.44
"Pop(W, 2-0)",1.0,0,0,0,0,1,0,4.00
"Scott, Tan(S, 14)",1.0,1,1,1,2,2,0,4.43
,9.0,11,6,6,2,7,1,
