BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,1,0,0,1,0,1,.235,.675
Drury1B,4,1,2,0,1,1,0,.271,.847
PhamLF,5,1,3,2,0,1,1,.245,.710
VottoDH,4,0,1,0,0,1,3,.211,.697
Solano3B,4,0,1,1,0,1,2,.330,.858
"Reynolds, MSS",4,1,1,0,0,0,4,.264,.703
SenzelCF,4,1,1,0,0,1,0,.253,.633
NaquinRF,3,1,1,2,0,0,1,.246,.749
"a-Farmer, KPH",1,0,0,0,0,0,0,.254,.709
KolozsvaryC,3,0,1,1,0,1,0,.176,.647
b-FairchildPH,1,0,0,0,0,1,0,.080,.379
,37,6,11,6,2,7,12,,
