PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Pérez(W, 9-2)",7.0,3,1,1,2,6,0,2.52
"Moore(H, 5)",1.0,0,0,0,0,0,0,1.66
Bush,1.0,1,1,0,0,2,0,2.95
,9.0,4,2,1,2,8,0,
