 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,187,19.8,14.4%,7.5%,93,26.2,3.2%,30.1%
2017,,640,19.3,6.7%,2.0%,427,24.5,0.2%,17.1%
2018,,642,20.1,2.2%,3.1%,313,24.8,0.0%,19.8%
2019,,656,19.9,3.0%,3.4%,392,25.5,0.0%,18.1%
2020,,299,20.3,5.0%,5.7%,184,25.4,0.0%,17.4%
2021,,731,20.3,7.4%,4.4%,436,25.0,0.5%,20.4%
2022,,784,19.1,10.1%,4.3%,423,24.9,0.5%,22.9%
