Season,Team,Pos,PA,Depth (ft.),Angle
2016,ATL,6,1312,147,-13
2017,ATL,6,5166,147,-12
2018,ATL,6,4870,146,-14
2019,ATL,6,4654,148,-12
2020,ATL,6,2213,151,-8
2021,ATL,6,5699,146,-12
2022,ATL,6,5935,147,-12
