Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,18.7,3,3.1,0,4,2,1,33.3
2017,,21.2,6,6.0,0,7,2,4,66.7
2018,,21.7,14,14.5,-1,7,4,11,78.6
2019,,22.3,17,17.9,-1,13,15,6,35.3
2020,,23.0,13,11.4,2,6,14,2,15.4
2021,,23.3,29,29.8,-1,9,23,13,44.8
2022,,22.8,25,26.8,-2,10,25,10,40.0
Player,,22.5,107,109.6,-3,56,85,47,43.9
