PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Morton,4.2,6,6,6,3,4,2,4.29
Chavez,1.1,1,0,0,0,1,0,3.48
"Lee, D",1.0,0,0,0,0,3,0,2.30
"Iglesias, R",1.0,2,0,0,0,0,0,2.68
Jansen,1.0,0,0,0,1,1,0,3.66
"Stephens(W, 3-2)",2.0,1,1,0,1,3,0,3.42
,11.0,10,7,6,5,12,2,
