BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Gurriel Jr.LF,4,0,0,0,0,0,4,.299,.757
Guerrero1B,4,0,0,0,0,1,3,.281,.854
KirkC,4,0,0,0,0,1,0,.300,.829
"Hernández, TDH",4,0,1,0,0,2,0,.264,.800
BichetteSS,4,0,2,0,0,1,0,.258,.718
"Chapman, M3B",4,1,0,0,0,1,3,.233,.773
MerrifieldRF-2B,2,1,1,1,2,0,0,.241,.645
Espinal2B,1,0,0,0,1,0,0,.270,.705
BiggioPH,0,0,0,0,0,0,0,.220,.708
a-SpringerPH,1,0,1,0,0,0,0,.269,.824
"1-Tapia, RPR-RF",1,0,0,0,0,0,1,.271,.676
Bradley Jr.CF,3,0,0,1,1,0,2,.208,.574
,32,2,5,2,4,6,13,,
