PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Kaprielian(L, 0-5)",5.1,5,2,2,2,7,1,5.98
Snead,1.1,0,1,1,3,0,0,8.53
Pruitt,0.1,4,4,4,0,1,3,5.56
Oller,2.0,3,1,1,1,1,0,9.58
,9.0,12,8,8,6,9,4,
