PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gonzales(W, 4-7)",7.0,7,2,2,1,2,1,3.33
"Swanson, E",1.0,0,0,0,0,1,0,1.00
Giles,1.0,0,0,0,0,1,0,0.00
,9.0,7,2,2,1,4,1,
