BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B,5,0,2,0,0,1,1,.267,.766
JudgeRF,5,1,1,0,0,1,4,.283,.971
Rizzo1B,4,1,1,0,0,0,3,.226,.848
StantonLF,4,1,2,2,0,1,1,.236,.832
Donaldson3B,4,0,0,0,0,3,2,.228,.714
CarpenterDH,3,2,2,2,1,0,1,.344,1.306
"Hicks, ACF",3,1,0,0,1,1,3,.238,.716
TrevinoC,4,0,2,1,0,1,1,.261,.747
Kiner-FalefaSS,4,0,1,1,0,0,1,.267,.631
,36,6,11,6,2,8,17,,
